YearRural,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
,,,,,100,,,,,,100,100,,100,100,13.53574954,100,100,100,61.55069835,3.469752797,100,,32.67827709,,11.53578917,74.68870522,93.50955741,100,100,2.075234864,,,10.28216297,10.17946935,100,100,,,,82.96245563,,77.4540021,24.81437445,,,,21.38189316,100,,100,100,100,100,59.90140984,100,72.27979788,82.67790173,94.65821506,62.33479599,,9.545414985,100,,,100,57.39296455,100,100,100,,5.976674243,,100,13.28118097,100,100,100,100,100,51.67372396,,,67.7359672,10.01049164,43.51034589,100,100,100,43.57198657,71.81709765,,,100,100,100,100,75.19464257,100,94.23269006,97.81014326,6.647292251,,,100,,100,99.57397004,22.8290164,100,,,,,100,100,100,100,0.368868528,0.213695835,,,,100,,,,87.23459211,,,100,,,36.01914373,,,15.38938511,,11.22351976,100,100,100,42.69514976,1.015359611,19.14733221,,100,100,100,59.49763557,,51.46596493,,75.90418448,16.58170401,54.22505828,100,100,100,100,100,100,,82.91545913,100,,100,9.517456284,,86.52971113,,100,,100,100,,,40.40603589,,100,,,,,70.45867902,13.88586232,,100,100,,,1.728333352,,,,80.22246992,,82.09283476,,,64.52965012,,0.255024485,,100,100,100,86.65882632,99.10952618,3.045382686,92.39868959,81.1989481,100,96.15382232,32.62724619,2.887682822,7.337329555
,,,,,100,,,,,,100,100,94.45046111,100,100,16.27505167,100,100,100,63.67138858,4.409695368,100,,28.37385189,,12.98536765,76.50735511,93.90972473,100,100,0.102735099,,,,11.80817347,100,100,0.035948429,0.03683953,,79.62990055,,78.34201772,27.47281646,,,,22.5,100,,100,100,100,100,57.80209389,100,78.67832724,83.82292033,95.10050283,59.61165219,,10.34384844,100,,,100,59.30111805,100,100,100,,7.151523657,,100,15.19032698,100,100,100,100,100,54.21246244,,,68.60408894,10.65145438,44.59220639,100,100,100,48.29339736,75.8768352,,,100,100,100,100,80.35314188,100,94.79157094,93.94235333,4.53753743,,,100,,100,99.63922133,25.50934533,100,,,,,100,100,100,100,0.443407274,0.546649742,,,,100,25.09559321,,,89.30797472,,,100,,,39.50785655,,,16.52456924,,15.06236153,100,100,100,46.31613536,1.284458831,24.32679007,,100,100,100,59.00194752,,52.89943601,,77.65708579,18.38642073,56.17713399,100,100,100,100,100,100,,83.96804107,100,,100,11.61952226,,87.25463675,,100,,100,100,8.474956093,,51.07814399,,100,,,,,72.35608931,15.04325746,99.62406,100,100,,95.93387789,2.573211786,,,,81.16570368,,84.67756188,,,65.18640741,,1.07350307,,100,100,100,89.367976,99.24666698,3.290362291,94.78968449,82.29980487,100,96.55534098,33.84039041,4.249533956,13.88493039
,,100,,,100,,96.25147449,86.70748414,98.5339728,100,100,100,98.0660884,100,100,16.81052202,100,100,100,65.69705789,5.411790648,100,8.796472079,28.16741634,100,13.82929214,74.22414589,96.33448017,100,100,2.276293344,,,6.555239587,9.221453678,100,100,,1.281354401,100,86.54576942,95.21368316,83.27282605,30.16003464,,,92.81553152,23.7247169,100,87.84293008,100,100,100,100,55.95896671,,76.15837269,85.00118915,96.3533119,67.91776601,,11.12107244,100,,1.721933056,100,61.27290318,100,100,100,11.60526206,18.8190228,,100,14.868923,100,100,100,,100,55.00925427,,,69.3692138,7.055278624,44.80924942,100,100,100,48.09517239,79.654595,94.15985317,,100,100,100,100,77.27243526,100,95.93010306,98.91358578,6.524564081,,,100,100,100,99.51910483,27.39341527,100,,1.988831923,,99.15300907,100,100,100,100,,0.710772754,,77.83266814,,100,23.27646833,,98.2557118,93.79899876,39.09998921,100,100,26.9090074,100,36.50440588,,,18.93175538,,20.25164263,100,100,100,47.18685533,,20.98711294,100,100,100,100,58.83526197,95.02385109,55.42346843,,78.82101641,11.08939439,61.67419501,100,100,100,100,100,100,,84.95651616,100,40.06112185,100,12.81024498,100,88.88819092,,100,,100,100,,,54.557181,,100,,92.57082036,,,74.36084824,2.261520299,90.72301972,100,100,,98.02519428,2.173447723,73.9577726,,6.385298554,82.36028413,80.24718948,85.99794843,,99.5151127,71.78548354,,1.465527217,100,100,100,100,76.93396223,99.29458869,6.769369898,91.86206038,84.18344589,100,99.18650448,33.91976965,2.07416994,7.550857293
,,100,,,100,9.477076871,96.48611008,85.78391495,100,100,100,100,97.62413206,100,100,21.61692233,100,100,100,67.38343185,4.449228921,100,19.56150275,28.01335004,100,10.44248044,81.87576296,96.57723392,100,100,2.2798432,,,4.263536217,13.86188834,100,100,0.848310305,1.433660244,100,82.00385626,95.71488638,94.28961021,32.72654995,,,95.7712338,24.60387781,100,85.22459136,100,100,100,100,53.71530258,,77.82799638,85.74403316,95.85845236,72.32056948,,11.91271527,100,18.4691263,16.04748108,100,63.16458622,100,100,100,21.55583998,9.74393416,,100,17.35166919,100,100,100,,100,57.35601401,,,70.19974375,13.18568982,38.2392226,100,100,100,43.48357702,79.18673658,94.78384139,,100,100,100,100,82.26559857,100,96.45845437,99.4705768,8.314307172,,,100,100,100,99.55373248,30.09695826,100,,,,87.96206768,100,100,100,100,4.507062472,1.22200204,,82.71963186,,100,26.43055825,4.900046297,98.74581257,90.65774592,41.60846559,100,100,35.68994832,100,45.92818016,,,18.49131035,,14.69724546,100,100,100,47.85951188,2.031974207,21.49577224,100,100,100,100,58.70235727,95.44854917,55.29543067,2.609050181,82.29298028,16.09575099,63.41888827,100,100,100,100,100,100,,85.89586501,100,36.64779945,100,15.12958535,100,89.57638919,,100,,100,100,,,49.33363004,,100,58.71826459,90.62074134,87.62718398,,78.8466585,15.01931688,90.59830993,100,100,,98.22136878,2.811357472,86.04645542,10.84406813,5.568399262,83.28549144,92.41698562,92.84903479,,99.7166508,64.98275983,,2.272150667,100,100,100,100,79.6732254,99.38827889,8.666932654,99.17695464,85.13892804,100,95.97936695,35.12032502,5.355257342,7.650127655
,,100,,,100,2.984414379,100,89.32524072,95.65651762,100,100,100,100,100,100,24.46349514,100,100,100,68.89846052,6.976467873,100,23.80542705,22.52780032,97.89614624,16.72940856,84.11795444,96.80782706,100,100,2.243534192,,30.72210733,7.691765922,13.8155972,100,100,1.023678794,1.575041943,100,83.42184373,96.07361749,82.24162195,33.21566513,,,96.32259592,26.81134089,100,82.28019505,100,100,100,100,26.09915008,,77.76927236,86.54589002,96.25044719,72.95194005,,13.96752378,100,16.73042006,16.85138935,100,67.84324505,100,100,100,21.33655479,10.80453441,99.78973486,100,19.85207908,100,100,100,,100,64.14668932,,,71.01748341,10.01997439,36.95126631,100,100,100,51.46895372,81.14440923,95.15830623,,100,100,100,100,80.16178123,100,98.77851127,99.66860589,10.09185444,,,100,100,100,100,30.50798528,100,,,,80.53404844,100,100,100,100,,1.50682174,,83.72624658,1.880141593,100,29.66789109,3.489179199,98.95748338,92.91325732,43.54366916,100,100,36.81964692,100,49.09008772,,33.32683199,19.23020304,,27.75075387,100,100,100,48.69336111,2.440342234,21.99691051,100,100,100,100,58.55407853,95.84146121,56.913058,4.93592767,83.7261662,19.45957744,65.14503594,100,100,100,100,100,100,,86.85877866,100,37.71727664,100,11.25069802,100,93.05125216,,100,,100,100,0.60697292,,64.24208791,,100,78.31791757,93.60572487,88.61658457,,78.05307131,15.55779578,90.45093707,100,100,72.23764683,98.7689946,3.428843182,86.81758103,7.761593445,6.744524235,84.20093974,93.04879197,94.26444168,,99.77328458,66.17155533,93.95106827,1.966223452,100,100,100,100,81.12324389,99.5220139,10.56115091,99.8,85.5724549,100,96.3232118,36.32107209,2.170901935,7.171707159
,,100,,,100,2.567459268,96.94331627,90.52547529,99.12822899,100,100,100,98.34534922,100,100,27.31803728,100,100,100,70.39063592,7.627427716,100,18.45123524,34.95559301,100,18.23179234,85.32153545,97.01892502,100,100,1.152562449,,37.64954183,7.744175424,14.45309412,100,100,1.178442596,1.701794866,100,92.76950894,96.42782757,82.96965379,37.81967649,,,96.66844476,26.32081947,100,86.70617532,100,100,100,100,49.07187815,,78.47057264,88.12867431,98.12285113,72.31822447,,13.48568855,100,19.93536457,17.64304229,100,68.43130167,100,100,100,21.0764161,1.08203786,100,100,23.98505195,100,100,100,,100,63.39669656,,,71.84501129,18.73468388,38.75965773,100,100,100,53.48834943,79.84106823,95.51765121,,100,100,100,100,80.34112474,100,97.38669604,99.81684706,6.937336857,,,100,100,100,99.58112766,31.55671516,100,,,,73.03151284,100,100,100,100,7.739963861,0.792391594,,84.74615579,2.680466567,100,32.97251866,3.712948196,98.81715003,92.0618498,45.46512561,100,100,40.94667825,100,52.26594878,0.981695114,30.53853767,19.90907898,,34.75331815,100,100,100,49.41497209,2.8359243,32.700268,100,100,100,100,58.38609772,96.18417814,71.55682609,7.250399075,85.61117,18.49724122,63.54471563,100,100,100,100,100,100,1.129059902,87.82034097,100,38.7640261,100,18.70998209,100,90.90663999,,100,,100,100,3.766151231,,66.28205797,,100,71.5475535,94.09526007,89.4266689,,79.8943396,16.07974485,90.26370283,100,100,85.00533282,100,3.249138924,87.59723739,12.11878962,7.884690546,85.102797,93.67506456,95.98394259,,99.80814206,67.47983264,94.04090473,4.201939192,100,100,100,100,82.49412574,99.52855772,12.44684155,66.63537047,87.05172376,100,97.50805989,37.51964629,1.941511458,8.422081556
,,100,,,100,2.019034592,97.15053713,91.54672497,99.1918781,100,100,100,98.6615999,100,100,27.87629043,100,100,100,71.85211234,8.24632178,100,32.5466087,40.71391808,100,19.67343477,83.4505451,97.20306477,100,100,2.031722367,,40.39804007,14.51461126,19.47418342,100,100,1.306373377,,100,86.40339195,96.77042958,83.64329794,40.33720117,,,97.34148609,27.14247111,100,87.40542042,100,100,100,100,46.61573405,,80.20530172,88.14419659,96.58599232,73.0275763,,14.25986191,100,23.11849812,18.41892282,100,68.84795058,100,100,100,20.73413788,12.97900951,99.93,100,24.91527932,100,100,100,,100,62.92923689,0.772085298,,72.65537373,8.778345041,40.63130982,100,100,100,53.62122772,82.86991331,95.83777935,,100,100,100,100,81.31925771,100,97.82592081,100,13.59633674,,,100,100,100,99.56270753,38.4047417,100,100,1.426984758,,65.42519238,100,100,100,100,,2.799840168,,85.77569666,3.405437889,100,36.32841976,3.847430701,98.81990551,96.08890713,47.36933494,100,100,39.20190023,100,58.44160738,1.281506649,31.74091243,20.57028243,,28.45144452,100,100,100,50.09962291,3.216439511,22.95583767,100,100,100,100,58.19231937,96.36655375,60.10265233,9.550741671,87.5003629,20.89768914,84.48207724,100,100,100,100,100,100,1.996611403,88.7589845,100,39.79857554,100,8.641581055,100,91.52982454,9.681659314,100,,100,100,6.929589193,1.135582858,73.72416781,,100,73.3339334,94.56083686,90.1895723,,81.72151675,16.57991948,90.01876835,100,100,84.2224157,98.40236248,2.609304883,88.3806258,15.13443205,8.98236875,85.98774782,94.28708288,97.71983815,,99.8125632,68.81092961,94.32084426,5.074347089,100,100,100,100,83.666464,99.54810878,14.32293368,94.79786088,88.00167813,100,93.3723418,32.93897286,4.655214026,9.174522824
,7.109005172,100,,,100,1.324988814,100,92.308199,99.62269974,100,100,100,98.93476861,100,100,30.17185846,100,100,100,73.27545714,8.827127177,100,43.22634506,29.54500745,100,21.0433394,84.83053451,97.35261611,100,100,1.845172752,,42.45776952,9.516452071,15.60715714,100,100,1.396051603,1.898213313,100,87.62008505,97.09357658,88.87290626,42.82357663,,7.223665038,97.44307669,36.18636312,100,88.00075069,100,100,100,100,44.03402471,,79.72760608,89.64994326,99.09791305,73.17147813,,15.02146684,100,26.2753865,0.646618988,100,70.71582458,100,100,100,27.09572566,4.456471659,97.49122395,100,7.860024812,100,100,100,,100,64.77032767,,,75.91960373,8.501100238,43.25784124,100,100,100,57.01529235,75.79399497,96.09815956,,100,100,100,100,82.25552975,100,97.85100841,100,15.31712266,51.20947192,,100,100,100,99.25951873,44.13231655,100,100,3.492013059,,57.67009813,100,100,100,100,,2.267312459,,86.81227209,4.049547996,100,39.71374286,1.177820453,98.7882106,96.76558019,49.25261261,100,100,66.70500485,100,58.44965332,1.759313449,32.92252357,21.21126189,,39.34011033,100,100,100,46.39040631,,23.40283107,100,100,100,100,57.96793035,96.98559534,61.64449083,11.83347177,89.643577,24.63243084,70.13355125,100,100,100,100,100,100,0.66807294,89.67209083,100,40.810368,100,23.26792701,100,92.11262606,,100,,100,100,10.09586968,1.917204959,73.18145859,,100,75.10153697,94.99821152,90.90522447,,83.52627935,17.05339397,89.72964274,100,100,83.37891449,99.15570826,4.806064006,89.16356064,18.84579188,10.03172988,86.85226793,94.84105174,98.60565003,,99.77818654,70.08170319,94.55937504,0.710018461,100,100,100,100,84.50287036,99.53923653,16.18490489,93.32760919,94.78695254,100,100,40.30322524,5.695409993,9.893669992
,12.6997313,100,,,100,0.965576784,100,92.80833788,99.12407725,100,100,100,99.16723545,100,100,40.17095642,100,100,100,85.12733171,7.915499811,100,42.07466663,41.57055898,99.12706219,22.34078941,87.16541867,97.47032939,100,100,1.601497425,,46.000595,21.27696662,25.80885678,100,100,,1.967496178,100,96.41898514,97.39992429,84.74039689,45.28223554,,8.045872803,97.56266579,34.08423073,100,88.4967153,100,100,100,100,32.64964484,,80.73908439,91.09749473,98.79858038,76.05451913,,15.77122855,100,27.28781091,19.9171818,100,72.56637233,100,100,100,19.66346858,15.0597292,100,100,31.44893975,100,100,100,,100,74.18377336,2.238632967,2.07721575,69.94086425,6.838861517,46.43805594,100,100,100,57.32030074,84.97863153,94.96237517,93.38146765,100,100,100,100,83.15241453,100,100,99.68571964,17.0172992,50.78539694,,100,100,100,99.09722625,42.79651892,100,98.76174179,2.301713702,,49.7419967,100,100,100,100,,,,87.90141677,1.544831208,100,43.12762594,3.817092747,98.72584835,97.17548096,51.12075566,100,100,41.70336136,100,93.02327545,2.20330367,34.08682684,21.83128775,,44.08519024,100,100,100,51.27527738,1.952751886,23.82714555,100,100,100,100,57.71508175,96.49879513,63.14896723,5.034251006,94.28484323,31.05124443,70.01034481,100,100,100,100,100,100,3.679734509,95.7874417,100,41.79817782,100,25.37206063,100,98.89734073,0.622213654,100,,100,100,3.945995046,1.737556839,72.59130312,,100,79.2859412,95.41079948,91.58046928,,85.31159813,17.50322954,81.81567203,100,100,99.2084816,98.42236534,5.175443111,98.84363281,22.55364358,7.402837423,90.66715306,100,98.8644908,,99.8163939,71.30091847,94.75660258,2.078533855,100,100,100,100,86.56797367,99.19995186,9.236959659,96.14852748,94.80113154,100,99.42580464,39.42030153,5.668749235,9.370758797
,19.51822787,100,,,100,,100,93.13461453,99.02284251,100,100,100,99.37781852,100,100,32.4922636,100,100,100,76.03321198,9.889084452,100,58.85198148,46.53506982,100,22.73179382,89.77621099,97.56932286,100,100,1.408055783,,48.88075812,24.64589013,6.426585695,100,100,1.477962552,2.027119013,100,89.54157135,97.70560562,85.19970145,47.72377929,1.820217635,8.350670673,97.7203465,29.42479576,100,88.93093734,100,100,100,100,38.54753764,,90.49895557,92.18968316,97.81808832,81.0342698,,16.52229747,100,32.5115386,,100,83.09897529,100,100,100,18.9682636,16.03235279,100,100,32.62093863,100,100,100,,100,68.41526531,2.934441192,,74.93701684,7.79934955,49.64798951,100,100,100,60.50421875,84.66716863,96.46770708,95.11160235,100,100,100,100,84.02736505,100,97.86550538,100,18.70530052,48.2947568,,100,100,100,99.51273578,38.18782091,100,99.23658247,6.648140575,,41.65039048,100,100,100,100,,2.696535771,,89.11343873,5.090921894,100,22.36137353,3.843791286,98.64651665,94.01887743,52.98030442,100,100,43.02174842,100,64.47007293,1.455424567,35.24293882,22.39008425,,47.09965112,100,100,100,51.79328017,4.269432624,25.27853948,100,100,100,100,57.44472869,96.47117294,64.63991476,16.36394364,93.12618532,38.68920516,73.2822126,100,100,100,100,100,100,4.506748755,91.44027639,100,42.78051265,100,24.87510661,100,93.18459556,0.726762728,100,,100,100,,5.093024333,75.51222603,,100,76.57936602,95.80975415,92.22724811,,86.55621538,17.94054958,88.9826971,100,100,81.57698878,98.41239357,5.50985061,90.74650201,19.94581783,11.99836652,88.53630426,100,98.2451523,,99.61595926,72.52945029,94.66246959,7.558194153,100,100,100,100,88.15591671,99.48806625,17.80146014,92.78611812,90.81204085,100,91.61410136,42.23755346,0.632463802,11.25696203
,27.95425074,100,97.93528596,,100,6.609393615,100,93.38403701,98.91017366,100,100,100,99.58219086,100,100,41.71069526,100,100,100,77.3974217,10.39483142,100,52.31546685,57.00263464,100,21.63469025,91.85225586,97.66359846,100,100,1.266618061,0.882570483,51.84288489,11.65404372,17.05465183,100,100,4.737354734,2.086661546,100,90.39266052,98.04698253,86.96315764,50.15927259,,8.625771504,97.7674214,35.5639977,100,89.34307905,100,100,100,100,35.72334648,,92.61719627,93.27339568,99.7243827,81.38377039,,17.28354159,100,35.48807335,21.2270807,100,75.36632049,100,100,100,18.22784842,16.97975275,100,100,36.82274588,100,100,100,,100,70.24900033,3.620005695,,75.67568415,7.396978677,54.3393527,100,100,100,62.25679153,88.08655464,96.62928035,94.5138519,100,100,100,100,83.41558951,100,100,98.49379318,20.39005827,52.38822158,,100,100,100,99.58088077,52.59106608,100,99.2282758,8.20485246,,33.40728131,100,100,100,100,,2.906367335,,90.33775887,5.502576607,100,50.19157695,3.88932039,98.56431282,96.16147845,54.84038486,100,100,44.42285604,100,67.56242461,2.285741605,36.40115425,23.05712645,,51.0097967,100,100,100,52.30344057,4.612935814,25.6212976,100,100,100,100,57.1689709,96.41862526,66.14016982,18.62716947,93.37661254,45.41755479,74.63317452,100,100,100,100,100,100,1.497533626,98.07417576,100,43.78019797,100,26.38764268,100,93.70823219,,100,,100,100,19.66401357,5.386290707,74.8880697,,100,80.3407262,96.2062567,92.8570428,,88.88469441,18.37686954,88.57663708,100,100,80.72519901,98.40244539,1.041767784,91.57380829,29.99673463,12.93594774,89.37327364,100,98.74133623,,99.51782717,73.84422451,95.08168007,8.360117196,100,100,100,100,88.00192562,99.48380184,21.7381245,92.37946616,91.76169228,100,97.03397798,43.42297956,5.519276516,11.92469646
